Project,Plot,Line,Point,HAFHeightWoody,HAFSpeciesWoody,HAFHeightHerbaceous,HAFSpeciesHerbaceous,AIMHeightWoody,AIMSpeciesWoody,AIMHeightHerbaceous,AIMSpeciesHerbaceous
Bruneau,BasinCM001,1,1.0,,,,,,,,
Bruneau,BasinCM001,1,2.0,,,,,,,,
Bruneau,BasinCM001,1,3.0,,,31,PSSP6,,,,
Bruneau,BasinCM001,1,4.0,33,CHVI8,25,ELEL5,,,,
Bruneau,BasinCM001,1,5.0,,,,,,,,
Bruneau,BasinCM001,1,6.0,,,,,,,,
Bruneau,BasinCM001,1,7.0,,,31,ELEL5,,,,
Bruneau,BasinCM001,1,8.0,,,,,,,,
Bruneau,BasinCM001,1,9.0,,,,,,,,
Bruneau,BasinCM001,1,10.0,,,,,,,,
Bruneau,BasinCM001,1,11.0,,,,,,,,
Bruneau,BasinCM001,1,12.0,,,,,,,,
Bruneau,BasinCM001,1,13.0,,,,,,,,
Bruneau,BasinCM001,1,14.0,,,,,,,,
Bruneau,BasinCM001,1,15.0,75,ARTRV,,,,,,
Bruneau,BasinCM001,1,16.0,,,,,,,,
Bruneau,BasinCM001,1,17.0,34,CHVI8,49,FEID,,,,
Bruneau,BasinCM001,1,18.0,66,CHVI8,,,,,,
Bruneau,BasinCM001,1,19.0,,,,,,,,
Bruneau,BasinCM001,1,20.0,,,25,POSE,,,,
Bruneau,BasinCM001,1,21.0,,,4,FEID,,,,
Bruneau,BasinCM001,1,22.0,35,CHVI8,32,ELEL5,,,,
Bruneau,BasinCM001,1,23.0,,,,,,,,
Bruneau,BasinCM001,1,24.0,,,,,,,,
Bruneau,BasinCM001,1,25.0,65,ARTRV,,,,,,
Bruneau,BasinCM001,2,1.0,23,CHVI8,26,ELEL5,,,,
Bruneau,BasinCM001,2,2.0,3,CHVI8,9,POSE,,,,
Bruneau,BasinCM001,2,3.0,,,,,,,,
Bruneau,BasinCM001,2,4.0,33,CHVI8,44,POSE,,,,
Bruneau,BasinCM001,2,5.0,,,,,,,,
Bruneau,BasinCM001,2,6.0,26,ARTRV,4,FEID,,,,
Bruneau,BasinCM001,2,7.0,,,,,,,,
Bruneau,BasinCM001,2,8.0,,,5,POSE,,,,
Bruneau,BasinCM001,2,9.0,,,36,POSE,,,,
Bruneau,BasinCM001,2,10.0,42,ARTRV,35,POSE,,,,
Bruneau,BasinCM001,2,11.0,,,,,,,,
Bruneau,BasinCM001,2,12.0,11,CHVI8,23,POSE,,,,
Bruneau,BasinCM001,2,13.0,,,29,POSE,,,,
Bruneau,BasinCM001,2,14.0,,,18,POSE,,,,
Bruneau,BasinCM001,2,15.0,,,13,ERAP,,,,
Bruneau,BasinCM001,2,16.0,,,,,,,,
Bruneau,BasinCM001,2,17.0,,,,,,,,
Bruneau,BasinCM001,2,18.0,,,22,POSE,,,,
Bruneau,BasinCM001,2,19.0,4,CHVI8,,,,,,
Bruneau,BasinCM001,2,20.0,,,47,FEID,,,,
Bruneau,BasinCM001,2,21.0,,,23,POSE,,,,
Bruneau,BasinCM001,2,22.0,,,,,,,,
Bruneau,BasinCM001,2,23.0,,,,,,,,
Bruneau,BasinCM001,2,24.0,,,34,POSE,,,,
Bruneau,BasinCM001,2,25.0,,,,,,,,
Bruneau,BasinCM001,3,1.0,,,4,POSE,,,,
Bruneau,BasinCM001,3,2.0,,,2,POSE,,,,
Bruneau,BasinCM001,3,3.0,22,CHVI8,,,,,,
Bruneau,BasinCM001,3,4.0,,,,,,,,
Bruneau,BasinCM001,3,5.0,,,,,,,,
Bruneau,BasinCM001,3,6.0,,,,,,,,
Bruneau,BasinCM001,3,7.0,,,16,POSE,,,,
Bruneau,BasinCM001,3,8.0,,,36,POSE,,,,
Bruneau,BasinCM001,3,9.0,,,,,,,,
Bruneau,BasinCM001,3,10.0,,,,,,,,
Bruneau,BasinCM001,3,11.0,,,,,,,,
Bruneau,BasinCM001,3,12.0,,,17,POSE,,,,
Bruneau,BasinCM001,3,13.0,25,CHVI8,18,POSE,,,,
Bruneau,BasinCM001,3,14.0,,,,,,,,
Bruneau,BasinCM001,3,15.0,,,,,,,,
Bruneau,BasinCM001,3,16.0,,,,,,,,
Bruneau,BasinCM001,3,17.0,,,1,POSE,,,,
Bruneau,BasinCM001,3,18.0,,,28,POSE,,,,
Bruneau,BasinCM001,3,19.0,,,,,,,,
Bruneau,BasinCM001,3,20.0,,,13,POSE,,,,
Bruneau,BasinCM001,3,21.0,,,,,,,,
Bruneau,BasinCM001,3,22.0,,,2,ANDI2,,,,
Bruneau,BasinCM001,3,23.0,,,,,,,,
Bruneau,BasinCM001,3,24.0,,,,,,,,
Bruneau,BasinCM001,3,25.0,,,,,,,,
Bruneau,BasinCM002,1,1.0,,,,,,,,
Bruneau,BasinCM002,1,2.0,,,,,,,,
Bruneau,BasinCM002,1,3.0,,,,,,,,
Bruneau,BasinCM002,1,4.0,,,,,,,,
Bruneau,BasinCM002,1,5.0,38,ARARL2,49,PSSP6,,,,
Bruneau,BasinCM002,1,6.0,,,,,,,,
Bruneau,BasinCM002,1,7.0,,,12,ELEL5,,,,
Bruneau,BasinCM002,1,8.0,,,,,,,,
Bruneau,BasinCM002,1,9.0,,,32,PSSSP6,,,,
Bruneau,BasinCM002,1,10.0,,,25,ELEL5,,,,
Bruneau,BasinCM002,1,11.0,,,39,POSE,,,,
Bruneau,BasinCM002,1,12.0,,,,,,,,
Bruneau,BasinCM002,1,13.0,,,24,ELEL5,,,,
Bruneau,BasinCM002,1,14.0,,,58,POSE,,,,
Bruneau,BasinCM002,1,15.0,,,,,,,,
Bruneau,BasinCM002,1,16.0,13,ARARL2,16,ELEL5,,,,
Bruneau,BasinCM002,1,17.0,19,ARARL2,3,ELEL5,,,,
Bruneau,BasinCM002,1,18.0,,,,,,,,
Bruneau,BasinCM002,1,19.0,,,,,,,,
Bruneau,BasinCM002,1,20.0,,,,,,,,
Bruneau,BasinCM002,1,21.0,,,43,POSE,,,,
Bruneau,BasinCM002,1,22.0,,,,,,,,
Bruneau,BasinCM002,1,23.0,,,,,,,,
Bruneau,BasinCM002,1,24.0,22,ARARL2,,,,,,
Bruneau,BasinCM002,1,25.0,21,ARARL2,,,,,,
Bruneau,BasinCM002,2,1.0,,,43,POSE,,,,
Bruneau,BasinCM002,2,2.0,,,,,,,,
Bruneau,BasinCM002,2,3.0,,,39,ELEL5,,,,
Bruneau,BasinCM002,2,4.0,,,,,,,,
Bruneau,BasinCM002,2,5.0,,,42,ELEL5,,,,
Bruneau,BasinCM002,2,6.0,,,41,POSE,,,,
Bruneau,BasinCM002,2,7.0,,,,,,,,
Bruneau,BasinCM002,2,8.0,,,38,POSE,,,,
Bruneau,BasinCM002,2,9.0,,,,,,,,
Bruneau,BasinCM002,2,10.0,,,,,,,,
Bruneau,BasinCM002,2,11.0,,,38,POSE,,,,
Bruneau,BasinCM002,2,12.0,,,,,,,,
Bruneau,BasinCM002,2,13.0,,,17,ELEL5,,,,
Bruneau,BasinCM002,2,14.0,,,58,PSSP6,,,,
Bruneau,BasinCM002,2,15.0,,,6,POSE,,,,
Bruneau,BasinCM002,2,16.0,,,,,,,,
Bruneau,BasinCM002,2,17.0,,,,,,,,
Bruneau,BasinCM002,2,18.0,,,28,ELEL5,,,,
Bruneau,BasinCM002,2,19.0,,,23,POSE,,,,
Bruneau,BasinCM002,2,20.0,,,22,ELEL5,,,,
Bruneau,BasinCM002,2,21.0,,,,,,,,
Bruneau,BasinCM002,2,22.0,,,32,POSE,,,,
Bruneau,BasinCM002,2,23.0,,,41,POSE,,,,
Bruneau,BasinCM002,2,24.0,,,,,,,,
Bruneau,BasinCM002,2,25.0,,,,,,,,
Bruneau,BasinCM002,3,1.0,,,19,ELEL5,,,,
Bruneau,BasinCM002,3,2.0,,,,,,,,
Bruneau,BasinCM002,3,3.0,,,93,POSE,,,,
Bruneau,BasinCM002,3,4.0,,,71,PSSP6,,,,
Bruneau,BasinCM002,3,5.0,,,59,PSSP6,,,,
Bruneau,BasinCM002,3,6.0,,,48,POSE,,,,
Bruneau,BasinCM002,3,7.0,,,,,,,,
Bruneau,BasinCM002,3,8.0,,,74,PSSP6,,,,
Bruneau,BasinCM002,3,9.0,,,,,,,,
Bruneau,BasinCM002,3,10.0,,,7,PSSP6,,,,
Bruneau,BasinCM002,3,11.0,,,,,,,,
Bruneau,BasinCM002,3,12.0,,,,,,,,
Bruneau,BasinCM002,3,13.0,,,,,,,,
Bruneau,BasinCM002,3,14.0,,,48,POSE,,,,
Bruneau,BasinCM002,3,15.0,,,,,,,,
Bruneau,BasinCM002,3,16.0,,,45,POSE,,,,
Bruneau,BasinCM002,3,17.0,,,,,,,,
Bruneau,BasinCM002,3,18.0,,,,,,,,
Bruneau,BasinCM002,3,19.0,,,,,,,,
Bruneau,BasinCM002,3,20.0,,,42,POSE,,,,
