"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Duration","Growth Habit"
"ABIES","","ABIES","Abies","",""
"ABCO","","ABCO","Abies concolor","Perennial","Tree"
"ABGR","","ABGR","Abies grandis","Perennial","Tree"
"ABLA","","ABLA","Abies lasiocarpa","Perennial","Tree"
"ABLAA","","ABLAA","Abies lasiocarpa var. arizonica","Perennial","Tree"
"ABLAL","","ABLAL","Abies lasiocarpa var. lasiocarpa","Perennial","Tree"
"ABRON","","ABRON","Abronia","",""
"ABAN","","ABAN","Abronia angustifolia","Annual, Perennial","Forb/herb"
"ABBI","","ABBI","Abronia bigelovii","Perennial","Forb/herb"
"ABBO","","ABBO","Abronia bolackii","Perennial","Forb/herb"
"ABCA","","ABCA","Abronia carletonii","Perennial","Forb/herb"
"ABEL","","ABEL","Abronia elliptica","Perennial","Forb/herb"
"ABFR2","","ABFR2","Abronia fragrans","Perennial","Forb/herb"
"ABME","","ABME","Abronia mellifera","Perennial","Forb/herb"
"ABNA","","ABNA","Abronia nana","Perennial","Forb/herb"
"ABNAH","","ABNAH","Abronia nana var. harrisii","Perennial","Forb/herb"
"ABUTI","","ABUTI","Abutilon","",""
"ABIN","","ABIN","Abutilon incanum","Perennial","Subshrub, Forb/herb"
"ABMA3","","ABMA3","Abutilon malacum","Perennial","Subshrub, Forb/herb"
"ABMO2","","ABMO2","Abutilon mollicomum","Perennial","Subshrub, Shrub, Forb/herb"
"ABPA3","","ABPA3","Abutilon parvulum","Perennial","Subshrub, Forb/herb"
"ABTH","","ABTH","Abutilon theophrasti","Annual","Forb/herb"
"ABWR","","ABWR","Abutilon wrightii","Perennial","Subshrub, Forb/herb"
"ACALY","","ACALY","Acalypha","",""
"ACNE","","ACNE","Acalypha neomexicana","Annual","Forb/herb"
"ACOS","","ACOS","Acalypha ostryifolia","Annual","Forb/herb"
"ACPH3","","ACPH3","Acalypha phleoides","Perennial","Forb/herb, Subshrub"
"ACARO2","","ACARO2","Acarospora","",""
"ACSC5","","ACSC5","Acarospora schleicheri","","Lichenous"
"ACER","","ACER","Acer","",""
"ACGL","","ACGL","Acer glabrum","Perennial","Tree, Shrub"
"ACGLD4","","ACGLD4","Acer glabrum var. douglasii","Perennial","Tree, Shrub"
"ACGLG2","","ACGLG2","Acer glabrum var. glabrum","Perennial","Tree, Shrub"
"ACGLN2","","ACGLN2","Acer glabrum var. neomexicanum","Perennial","Tree, Shrub"
"ACGR3","","ACGR3","Acer grandidentatum","Perennial","Tree, Shrub"
"ACGRG","","ACGRG","Acer grandidentatum var. grandidentatum","Perennial","Tree, Shrub"
"ACGRS","","ACGRS","Acer grandidentatum var. sinuosum","Perennial","Tree, Shrub"
"ACNE2","","ACNE2","Acer negundo","Perennial","Tree"
"ACNEA","","ACNEA","Acer negundo var. arizonicum","Perennial","Tree"
"ACNEI2","","ACNEI2","Acer negundo var. interius","Perennial","Tree"
"ACNET","","ACNET","Acer negundo var. texanum","Perennial","Tree"
"ACNEV","","ACNEV","Acer negundo var. violaceum","Perennial","Tree"
"ACPL","","ACPL","Acer platanoides","Perennial","Tree"
"ACSA2","","ACSA2","Acer saccharinum","Perennial","Tree"
"ACHIL","","ACHIL","Achillea","",""
"ACMI2","","ACMI2","Achillea millefolium","Perennial","Forb/herb"
"ACMIA","","ACMIA","Achillea millefolium var. alpicola","Perennial","Forb/herb"
"ACMIC","","ACMIC","Achillea millefolium var. californica","Perennial","Forb/herb"
"ACMIM2","","ACMIM2","Achillea millefolium var. millefolium","Perennial","Forb/herb"
"ACMIO","","ACMIO","Achillea millefolium var. occidentalis","Perennial","Forb/herb"
"ACMIP","","ACMIP","Achillea millefolium var. pacifica","Perennial","Forb/herb"
"ACPT","","ACPT","Achillea ptarmica","Perennial","Forb/herb"
"ACHNA","","ACHNA","Achnatherum","",""
"ACAR14","","ACAR14","Achnatherum aridum","Perennial","Graminoid"
"ACBL","","ACBL","Achnatherum ×bloomeri","Perennial","Graminoid"
"ACCU6","","ACCU6","Achnatherum curvifolium","Perennial","Graminoid"
"ACEM4","","ACEM4","Achnatherum eminens","Perennial","Graminoid"
"ACHE10","","ACHE10","Achnatherum hendersonii","Perennial","Graminoid"
"ACHY","","ACHY","Achnatherum hymenoides","Perennial","Graminoid"
"ACLE8","","ACLE8","Achnatherum lemmonii","Perennial","Graminoid"
"ACLEL","","ACLEL","Achnatherum lemmonii var. lemmonii","Perennial","Graminoid"
"ACLE9","","ACLE9","Achnatherum lettermanii","Perennial","Graminoid"
"ACLO7","","ACLO7","Achnatherum lobatum","Perennial","Graminoid"
"ACNE9","","ACNE9","Achnatherum nelsonii","Perennial","Graminoid"
"ACNED","","ACNED","Achnatherum nelsonii ssp. dorei","Perennial","Graminoid"
"ACNEN2","","ACNEN2","Achnatherum nelsonii ssp. nelsonii","Perennial","Graminoid"
"ACNE10","","ACNE10","Achnatherum nevadense","Perennial","Graminoid"
"ACOC3","","ACOC3","Achnatherum occidentale","Perennial","Graminoid"
"ACOCC","","ACOCC","Achnatherum occidentale ssp. californicum","Perennial","Graminoid"
"ACOCP","","ACOCP","Achnatherum occidentale ssp. pubescens","Perennial","Graminoid"
"ACPE13","","ACPE13","Achnatherum perplexum","Perennial","Graminoid"
"ACPI2","","ACPI2","Achnatherum pinetorum","Perennial","Graminoid"
"ACRI8","","ACRI8","Achnatherum richardsonii","Perennial","Graminoid"
"ACRO7","","ACRO7","Achnatherum robustum","Perennial","Graminoid"
"ACSC11","","ACSC11","Achnatherum scribneri","Perennial","Graminoid"
"ACSP12","","ACSP12","Achnatherum speciosum","Perennial","Graminoid"
"ACSW3","","ACSW3","Achnatherum swallenii","Perennial","Graminoid"
"ACTH7","","ACTH7","Achnatherum thurberianum","Perennial","Graminoid"
"ACWE3","","ACWE3","Achnatherum webberi","Perennial","Graminoid"
"ACINO","","ACINO","Acinos","",""
"ACAR2","","ACAR2","Acinos arvensis","Annual, Perennial","Forb/herb"
"ACLEI","","ACLEI","Acleisanthes","",""
"ACLO2","","ACLO2","Acleisanthes longiflora","Perennial","Subshrub, Forb/herb"
"ACONI","","ACONI","Aconitum","",""
"ACCO4","","ACCO4","Aconitum columbianum","Perennial","Forb/herb"
"ACCOC3","","ACCOC3","Aconitum columbianum ssp. columbianum","Perennial","Forb/herb"
"ACORU","","ACORU","Acorus","",""
"ACAM","","ACAM","Acorus americanus","Perennial","Forb/herb"
"ACOUR","","ACOUR","Acourtia","",""
"ACNA2","","ACNA2","Acourtia nana","Perennial","Forb/herb"
"ACTH","","ACTH","Acourtia thurberi","Perennial","Forb/herb"
"ACWR5","","ACWR5","Acourtia wrightii","Perennial","Forb/herb"
"ACROP","","ACROP","Acroptilon","",""
"ACRE3","","ACRE3","Acroptilon repens","Perennial","Forb/herb"
"ACTAE","","ACTAE","Actaea","",""
"ACRU2","","ACRU2","Actaea rubra","Perennial","Forb/herb"
"ACRUA8","","ACRUA8","Actaea rubra ssp. arguta","Perennial","Forb/herb"
"ADENO","","ADENO","Adenocaulon","",""
"ADBI","","ADBI","Adenocaulon bicolor","Perennial","Forb/herb"
"ADENO5","","ADENO5","Adenophyllum","",""
"ADWR","","ADWR","Adenophyllum wrightii","Annual","Forb/herb"
"ADIAN","","ADIAN","Adiantum","",""
"ADAL","","ADAL","Adiantum aleuticum","Perennial","Forb/herb"
"ADCA","","ADCA","Adiantum capillus-veneris","Perennial","Forb/herb"
"ADOLP","","ADOLP","Adolphia","",""
"ADIN","","ADIN","Adolphia infesta","Perennial","Shrub"
"ADONI","","ADONI","Adonis","",""
"ADAE","","ADAE","Adonis aestivalis","Annual","Forb/herb"
"ADAN","","ADAN","Adonis annua","Annual","Forb/herb"
"ADOXA","","ADOXA","Adoxa","",""
"ADMO","","ADMO","Adoxa moschatellina","Perennial","Forb/herb"
"AEGIL","","AEGIL","Aegilops","",""
"AECY","","AECY","Aegilops cylindrica","Annual","Graminoid"
"AEGOP","","AEGOP","Aegopodium","",""
"AEPO","","AEPO","Aegopodium podagraria","Perennial","Forb/herb"
"AETHU","","AETHU","Aethusa","",""
"AECY2","","AECY2","Aethusa cynapium","Annual","Forb/herb"
"AGALI","","AGALI","Agalinis","",""
"AGCA7","","AGCA7","Agalinis calycina","Annual","Forb/herb"
"AGTE3","","AGTE3","Agalinis tenuifolia","Annual","Forb/herb"
"AGTEP2","","AGTEP2","Agalinis tenuifolia var. parviflora","Annual","Forb/herb"
"AGAST","","AGAST","Agastache","",""
"AGBR","","AGBR","Agastache breviflora","Perennial","Subshrub, Forb/herb"
"AGCA","","AGCA","Agastache cana","Perennial","Subshrub, Forb/herb"
"AGCU","","AGCU","Agastache cusickii","Perennial","Subshrub, Forb/herb"
"AGME2","","AGME2","Agastache mearnsii","Perennial","Subshrub, Forb/herb"
"AGMI","","AGMI","Agastache micrantha","Perennial","Subshrub, Forb/herb"
"AGPA","","AGPA","Agastache pallidiflora","Perennial","Subshrub, Forb/herb"
"AGPAN","","AGPAN","Agastache pallidiflora ssp. neomexicana","Perennial","Subshrub, Forb/herb"
"AGPAH3","","AGPAH3","Agastache pallidiflora ssp. neomexicana var. havardii","Perennial","Subshrub, Forb/herb"
"AGPAN2","","AGPAN2","Agastache pallidiflora ssp. neomexicana var. neomexicana","Perennial","Subshrub, Forb/herb"
"AGPAP2","","AGPAP2","Agastache pallidiflora ssp. pallidiflora","Perennial","Subshrub, Forb/herb"
"AGPAG3","","AGPAG3","Agastache pallidiflora ssp. pallidiflora var. gilensis","Perennial","Subshrub, Forb/herb"
"AGPAG4","","AGPAG4","Agastache pallidiflora ssp. pallidiflora var. greenei","Perennial","Subshrub, Forb/herb"
"AGPAP4","","AGPAP4","Agastache pallidiflora ssp. pallidiflora var. pallidiflora","Perennial","Subshrub, Forb/herb"
